Store,Year,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,Dry.Grocery,Dairy,Frozen,Meat,Produce,Floral,Deli,Bakery,General,Cluster
S0001,2015,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508945.82,46.134726,10.308371,7.719925,10.767741,9.717104,0.676943,4.354993,3.554388,6.76581,1
S0002,2015,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334619.57,45.752795,10.638761,7.884093,11.490345,10.12594,0.743806,3.979242,2.970153,6.414865,1
S0003,2015,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240661.99,42.134909,10.235628,6.90275,11.471274,12.539881,0.963139,4.17608,3.610802,7.965537,2
S0004,2015,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.82,1606208.31,27913890.97,45.455984,9.711102,8.027714,12.772766,10.040922,0.611963,4.178524,3.446871,5.754154,1
S0005,2015,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886.17,44.016875,10.626809,8.633852,10.186326,13.111205,0.887725,3.538921,2.260686,6.7376,2
S0006,2015,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625420.87,45.983515,9.860922,7.444313,10.691591,10.178203,0.826504,4.630887,3.541689,6.842375,1
S0007,2015,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.01,1966428.99,30863087.31,44.20868,10.213496,8.916985,11.513459,10.344684,0.783833,4.629766,3.017637,6.371459,1
S0008,2015,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.2,2598245.71,29181879.77,42.845685,10.873213,8.032146,10.687773,12.369636,0.78588,3.262266,2.239774,8.903627,2
S0009,2015,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620.31,44.225227,10.037612,7.705136,11.890801,10.350749,0.728826,4.420394,2.575634,8.065621,3
S0010,2015,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928.12,43.144535,11.496155,8.034174,10.71483,12.162884,1.038302,3.709895,3.805137,5.894088,2
S0011,2015,10163008.45,2104841.34,1609834.78,2719787.7,2205228.62,176845.1,1091045.18,726534.57,1598547.88,22395673.62,45.379338,9.398428,7.188151,12.144255,9.846672,0.78964,4.871678,3.244084,7.137753,1
S0012,2015,22920867.6,4784134.92,3657381.26,5626478.83,4639016.01,335699.97,2216645.21,914460.49,4091856.84,49186541.13,46.599877,9.726512,7.435736,11.439062,9.431474,0.682504,4.506609,1.859168,8.319058,3
S0013,2015,17451783.56,3553516.21,2951489.37,4467174.88,3629467.14,309895.27,1812614.94,1342741.95,3650467.09,39169150.41,44.55492,9.072232,7.53524,11.40483,9.266137,0.791172,4.62766,3.42806,9.31975,3
S0014,2015,13770222.43,3029633.62,2391810.25,3058413.55,3311035.35,330321.91,1082305.37,636768.63,3377451.51,30987962.62,44.437327,9.776808,7.718514,9.869683,10.684908,1.065968,3.492664,2.05489,10.899237,3
S0015,2015,16733288.07,3689264.26,2908692.42,3735002.13,3921200.02,287081.34,1306527.72,937785.14,3834916.56,37353757.66,44.7968,9.876555,7.78688,9.999,10.497471,0.768547,3.497714,2.510551,10.266481,3
S0016,2015,11144879.86,2135270.92,1823002.86,2570843.14,2065999.38,145993.89,1075451.66,670693.26,1720661.82,23352796.79,47.723962,9.143534,7.806358,11.008716,8.846903,0.625167,4.605237,2.872004,7.368119,1
S0017,2015,13818627.34,3158295.28,2484711.41,3081529.14,4215854.25,422332.61,1288667.35,890682.47,2180252.8,31540952.65,43.811699,10.013316,7.877731,9.76993,13.366287,1.338998,4.085696,2.823892,6.912451,2
S0018,2015,10994579.22,2399399.79,1918423.17,2575042.16,2646907.99,226217.15,1044561.79,848925.03,1624673.09,24278729.39,45.284821,9.882724,7.901662,10.606165,10.902169,0.93175,4.302374,3.496579,6.691755,1
S0019,2015,9500819.34,1918345.51,1532868.24,2197008.49,1865858.21,113276.66,638836.56,385628.7,1529502.66,19682144.37,48.271261,9.746629,7.788116,11.162445,9.479954,0.57553,3.245767,1.959282,7.771016,3
S0020,2015,10997288.18,2568277.53,1866647.95,2600090.68,2615310,201233.89,914548.27,705612.78,1501802.12,23970811.4,45.87783,10.714187,7.78717,10.846903,10.910394,0.839496,3.815258,2.943633,6.265128,2
S0021,2015,9410854.65,2656706.22,1879698.39,1874153.33,3217947.64,194611.01,795313.46,612390.49,1100774.09,21742449.28,43.283323,12.218983,8.645293,8.619789,14.8003,0.895074,3.657883,2.816566,5.062788,2
S0022,2015,13404375.38,2752887.18,2163727.82,3022688.81,2625382.14,246755.04,1229095.06,970143.13,2074377.15,28489431.71,47.050343,9.662836,7.594844,10.60986,9.215284,0.866128,4.314214,3.405274,7.281216,1
S0023,2015,7723456.23,1921840.1,1491504.46,1938579.85,1893525.06,167752.48,678086.29,640114.98,1233253.09,17688112.54,43.664671,10.865151,8.432242,10.959789,10.705071,0.948391,3.833571,3.618899,6.972214,2
S0024,2015,11160900.76,2550573.86,2014391.25,2570942.73,2709800.59,132218.66,1008674.17,562929.26,1813070.15,24523501.43,45.511041,10.400529,8.214126,10.483587,11.049811,0.539151,4.113092,2.295469,7.393194,3
